other,xorg-server-xnest,duplicates I was too lazy to sort
other,xorg-server-xvfb,duplicates I was too lazy to sort
other,xorg-sessreg,duplicates I was too lazy to sort
other,xorg-setxkbmap,duplicates I was too lazy to sort
other,xorg-smproxy,duplicates I was too lazy to sort
other,xorg-x11perf,duplicates I was too lazy to sort
other,xorg-xauth,duplicates I was too lazy to sort
other,xorg-xbacklight,duplicates I was too lazy to sort
other,xorg-xcmsdb,duplicates I was too lazy to sort
other,xorg-xcursorgen,duplicates I was too lazy to sort
other,xorg-xdpyinfo,duplicates I was too lazy to sort
other,xorg-xdriinfo,duplicates I was too lazy to sort
other,xorg-xev,duplicates I was too lazy to sort
other,xorg-xgamma,duplicates I was too lazy to sort
other,xorg-xhost,duplicates I was too lazy to sort
other,xorg-xinit,duplicates I was too lazy to sort
other,xorg-xinput,duplicates I was too lazy to sort
other,xorg-xkbcomp,duplicates I was too lazy to sort
other,xorg-xkbevd,duplicates I was too lazy to sort
other,xorg-xkbutils,duplicates I was too lazy to sort
other,xorg-xkill,duplicates I was too lazy to sort
other,xorg-xlsatoms,duplicates I was too lazy to sort
other,xorg-xlsclients,duplicates I was too lazy to sort
other,xorg-xmodmap,duplicates I was too lazy to sort
other,xorg-xpr,duplicates I was too lazy to sort
other,xorg-xprop,duplicates I was too lazy to sort
other,xorg-xrandr,duplicates I was too lazy to sort
other,xorg-xrdb,duplicates I was too lazy to sort
other,xorg-xrefresh,duplicates I was too lazy to sort
other,xorg-xset,duplicates I was too lazy to sort
other,xorg-xsetroot,duplicates I was too lazy to sort
other,xorg-xvinfo,duplicates I was too lazy to sort
other,xorg-xwayland,duplicates I was too lazy to sort
other,xorg-xwd,duplicates I was too lazy to sort
other,xorg-xwininfo,duplicates I was too lazy to sort
other,xorg-xwud,duplicates I was too lazy to sort
other,xsel,duplicates I was too lazy to sort
other,yay,duplicates I was too lazy to sort
other,zathura-pdf-mupdf,duplicates I was too lazy to sort
other,zsh,duplicates I was too lazy to sort
other,zsh-completions,duplicates I was too lazy to sort
other,zsh-syntax-highlighting,duplicates I was too lazy to sort
